Task ID,Name,Category,Score (1-10),Active
,✍️ Write and publish content on Bridge Chapter,,5,1
,🏃‍♂️ Run a Chapter Initiative/Program,,5,1
,📚 Attend a training on leading discussions,,4,1
,🤝 Joining Discord/Slack/GroupMe,,3,1
,👯‍♂️ Bringing a friend to an event,,3,1
,🗾 Onboarding a new member/Bridge Buddy,,3,1
,🪑 Tabled for an hour,,3,1
,🗣 Posted on Social Account about Chapter,,3,1
,💻 Sent message in Discord/Slack/GroupMe,,2,1
,⭐️ Atttend Chapter Events,,2,1
,🌱 Attend Discussions,,2,1
,📋 Proposals on new events or topics,,2,1
,✉️ Signing up for email list ,,1,1
,🐦 Followed Social Account,,1,1
