Task ID,Name,Category,Score (1-10),Active
,"🎤 Run an Ops Event (for a given month, i.e. Community Call, Calendar)",Events,10,1
,"👩‍💼 Grants - administration - followup, refinement, onboarding ",Grants,10,1
,🎙️ Gave a talk about us,Events,10,1
,🚚 Fundraising - create and deliver a marketing/outreach campaign,Treasury,10,1
,"🏦 Treasury reports to the DAO (monthly or quarterly) - assets held, money in, money out in the period",Treasury,10,1
,💰 Fundraising - close a grant (upon receipt),Treasury,10,1
,🧮 Grants - accounting and payments,Grants,9,1
,"🏋️‍♀️ Grants - promote & update grants criteria, outreach",Grants,9,1
,📚 Wrote blog post(for internal publication),Content,9,1
,🧙‍♂️ Start/Run a Committee,Product,9,1
,✏️ Wrote a blog post (for external publication),Content,9,1
,🔎 Grants - review applications (as part of a team),Grants,9,1
,📩 Submit a Proposal,Product,8,1
,🗳 Vote on a Proposal,Product,8,1
,📝 Submit Improvement Proposal (IP),Open Source,8,1
,⌗ Enter Movement Model Data (Governance Committee),Governance,8,1
,🦋 Process a Proposal,Product,8,1
,💃 Sponsor a Proposal,Product,8,1
,🏵 Attended Committee Call,Community,7,1
,✍️ Contributed to our Documentation,Open Source,7,1
,📏 Created a Poll,Open Source,7,1
,🤓 Answered forum question,Community,6,1
,🆘 Successful support interaction,Product,6,1
,🌱 Starting using new feature (Educational Call),Product,6,1
,📞 Attended Community-Wide Call,Community,6,1
,"💻 Building Assets (Design, Product, Bots, Website Maintenance)",Open Source,6,1
,👐 Onboarding a new member,Community,6,1
,👋 Joined the Community,Community,5,1
,🎳 Posted about us in external/private forum,Social,5,1
,🙋‍♂️ Fill member feedback surveys,Product,4,1
,🙋‍♀️ Created forum topic,Community,4,1
,🗣 Tweeted about us,Social,4,1
,📋 Opened a Ticket on Notion,Open Source,4,1
,#️⃣ Joined Discord,Community,3,0
,⌨️ Started Discord conversation,Community,3,1
,🤝 Referred Member (that was accepted),Community,2,1
,🐦 Retweeted our tweet,Social,2,1
,💌 Follow on Medium,Content,1,1
,⭐ Create Discourse Account,Open Source,1,1
,🐦 Followed us on twitter,Social,1,1
