Date Added,Task ID,Action,User,Description,Date of Engagement,Approved
,4x9,🏵 Attended Committee Call,mgd78,onboarding committee,2021-11-08,TRUE
,4x9,🏵 Attended Committee Call,mgd88,Attended governance call,2021-11-17,TRUE
,ngj,🤓 Answered forum question,mgd88,Helped in support channel with onboarding questions on member proposal,2021-11-14,TRUE
,4x9,🏵 Attended Committee Call,mgd58,Attended governance call 10/17,2021-11-17,TRUE
,rax,"""💻 Building MGD Assets (Design, Product, Bots, Website Maintenance)""",mgd62,Prep for welcome video ,2021-11-19,TRUE
,4x9,🏵 Attended Committee Call,mgd62,Governance working group,2021-11-17,TRUE
,4x9,🏵 Attended Committee Call,mgd52,Attended governance call 10/17,2021-11-17,TRUE
,fl8,⌗ Enter Movement Model Data (Governance Committee),mgd52,,2021-11-12,TRUE
,xp6,"""👩‍💼 Grants - administration - followup, refinement, onboarding""",mgd21,Helping get Jovian her grant.,2021-11-18,TRUE
,4x9,🏵 Attended Committee Call,mgd21,Governance ,2021-11-17,TRUE
,w3e,🎳 Posted about us in external/private forum,mgd21,Helped Ann post our proposal for MolochDAO,2021-11-18,TRUE
