,Date Added,Task ID,Action,User,Description,Date of Engagement,Approved
0,2021-12-04 06:13:31,vap,🧮 Grants - accounting and payments,mgd2,Helped with Jovian payout,2021-12-04,TRUE
1,2021-12-04 06:15:16,4x9,🏵 Attended Committee Call,mgd2,Nich and I had a treasury call,2021-12-03,TRUE
2,2021-12-06 05:51:55,rax,"💻 Building MGD Assets (Design, Product, Bots, Website Maintenance)",mgd78,created the pledging video for all prospective members,2021-12-02,TRUE
3,2021-12-07 20:29:58,ngj,🤓 Answered forum question,mgd88,General info answer on calls,2021-12-07,TRUE
4,2021-12-07 20:31:26,9qp,💰 Fundraising - close a grant (upon receipt),mgd88,Multisig assistance for Harmony with Ann today,2021-12-07,TRUE
5,2021-12-08 11:42:21,4x9,🏵 Attended Committee Call,mgd88,Fundraising call,2021-12-08,TRUE
6,2021-12-08 11:41:39,ixl,🗳 Vote on a Proposal,mgd88,Voted on membership proposal @ninamonalpsa,2021-12-08,TRUE
7,2021-12-10 12:49:47,rp2,🔎 Grants - review applications (as part of a team),mgd88,Reviewing applications for grants,2021-12-09,TRUE
8,2021-12-10 13:00:02,4x9,🏵 Attended Committee Call,mgd88,1m fund call,2021-12-10,TRUE
9,2021-12-10 13:05:30,4x9,🏵 Attended Committee Call,mgd58,grants/governance joint meeting,2021-12-08,TRUE
10,2021-12-10 14:37:01,jnv,✍️ Contributed to our Documentation,mgd21,Uploaded 3 YouTube videos this week for documentation/archiving,2021-12-09,TRUE
11,2021-12-10 14:37:22,4x9,🏵 Attended Committee Call,mgd21,Attended the 1M Fund meeting,2021-12-10,TRUE
12,2021-12-10 14:36:36,rax,"💻 Building MGD Assets (Design, Product, Bots, Website Maintenance)",mgd21,Made YouTube videos for onbaording processes,2021-12-08,TRUE
13,2021-12-10 15:04:57,fl8,⌗ Enter Movement Model Data (Governance Committee),mgd21,approvals for this week,2021-12-10,TRUE
