,Date Added,Task ID,Action,User,Date of Engagement,Status
0,2021-12-18T13:15:27.000Z,p3i,⌨️ Started Discord conversation,mgd88,2021-12-17,Approved
1,2021-12-21T08:05:07.000Z,vap,🧮 Grants - accounting and payments,mgd34,2021-12-17,Approved
2,2021-12-18T13:13:48.000Z,vyn,📞 Attended DAO-Wide Call,mgd88,2021-12-15,Approved
3,2021-12-21T08:05:35.000Z,due,📩 Submit a Proposal,mgd34,2021-12-17,Approved
4,2021-12-21T08:05:55.000Z,dzq,💃 Sponsor a Proposal,mgd34,2021-12-17,Approved
5,2021-12-21T08:06:13.000Z,ixl,🗳 Vote on a Proposal,mgd34,2021-12-17,Approved
6,2021-12-20T17:31:20.000Z,fl8,⌗ Enter Movement Model Data (Governance Committee),mgd58,2021-12-17,Approved
7,2021-12-20T17:30:49.000Z,4x9,🏵 Attended Committee Call,mgd58,2021-12-14,Approved
8,2021-12-21T08:04:01.000Z,tec,🦋 Process a Proposal,mgd34,2021-12-21,Approved
9,2021-12-21T08:08:06.000Z,xp6,"👩‍💼 Grants - administration - followup, refinement, onboarding ",mgd34,2021-12-16,Approved
10,2021-12-23T20:53:49.000Z,ixl,🗳 Vote on a Proposal,mgd89,2021-12-23,Approved
11,2021-12-21T08:03:35.000Z,tec,🦋 Process a Proposal,mgd34,2021-12-21,Approved
