Task ID,Name,Category,Score (1-10),Active
7an,"🎤 Run an Ops Event (for a given month, i.e. Community Call, Calendar)",Events,10,1
xp6,"👩‍💼 Grants - administration - followup, refinement, onboarding ",Grants,10,1
5gb,🎙️ Gave a talk about us,Events,10,1
qdn,🚚 Fundraising - create and deliver a marketing/outreach campaign,Treasury,10,1
3dm,"🏦 Treasury reports to the DAO (monthly or quarterly) - assets held, money in, money out in the period",Treasury,10,1
9qp,💰 Fundraising - close a grant (upon receipt),Treasury,10,1
vap,🧮 Grants - accounting and payments,Grants,9,1
keg,"🏋️‍♀️ Grants - promote & update grants criteria, outreach",Grants,9,1
nxt,📚 Wrote blog post for MGD (for internal publication),Content,9,1
ecu,🧙‍♂️ Start/Run a Committee,Product,9,1
vij,✏️ Wrote a blog post about MGD (for external publication),Content,9,1
rp2,🔎 Grants - review applications (as part of a team),Grants,9,1
ihw,🏦 Make an Outcome-Based Donation,Product,8,0
due,📩 Submit a Proposal,Product,8,1
ixl,🗳 Vote on a Proposal,Product,8,1
rbu,📝 Submit MGD Improvement Proposal (MIP),Open Source,8,1
fl8,⌗ Enter Movement Model Data (Governance Committee),Governance,8,1
tec,🦋 Process a Proposal,Product,8,1
dzq,💃 Sponsor a Proposal,Product,8,1
4x9,🏵 Attended Committee Call,Community,7,1
jnv,✍️ Contributed to our Documentation,Open Source,7,1
yix,📏 Created a Poll,Open Source,7,1
ngj,🤓 Answered forum question,Community,6,1
ajo,🆘 Successful support interaction,Product,6,1
rqu,🌱 Starting using new feature (Educational Call),Product,6,1
vyn,📞 Attended DAO-Wide Call,Community,6,1
rax,"💻 Building MGD Assets (Design, Product, Bots, Website Maintenance)",Open Source,6,1
bvi,👐 Onboarding a new member,Community,6,1
klo,👋 Joined the DAO,Community,5,1
w3e,🎳 Posted about us in external/private forum,Social,5,1
mrq,🙋‍♂️ Fill member feedback surveys,Product,4,1
urc,🙋‍♀️ Created forum topic,Community,4,1
4nd,💸 Donated on Gitcoin Grants,Social,4,0
cik,🗣 Tweeted about us,Social,4,1
kfs,📋 Opened a Ticket on Notion,Open Source,4,1
gdb,#️⃣ Joined Discord,Community,3,0
p3i,⌨️ Started Discord conversation,Community,3,1
wiz,🤝 Referred Member to MGD (that was accepted),Community,2,1
o41,🐦 Retweeted our tweet,Social,2,1
zzj,💌 Follow MGD on Medium,Content,1,1
i8n,⭐ Create Discourse Account,Open Source,1,1
0j9,🐦 Followed us on twitter,Social,1,1
