Date Added,Action,User,Description,Date of Engagement,Approved
,"""🏋️‍♀️ Grants - promote & update grants criteria, outreach""",0x245bd45ffd22a0e8da538a3b2fbfdd3a575bc619,created a proposal for the DAO to discuss about 2022 fundraising strategy,2021-11-05,TRUE
,📞 Attended DAO-Wide Call,0xb968749ddb25f0bc0b241c3b68e588455222b8d8,,2021-11-10,TRUE
,📞 Attended DAO-Wide Call,0x11cA8bfA53F39F1d303822898b28Bf116C490461,Attendwd DAO wide call and stayed on for grants proposal call,2021-11-10,TRUE
,📞 Attended DAO-Wide Call,0xa873baa34ea1868194e5937e3aefd20dd2e549ea,,2021-11-10,TRUE
,"""🎤 Run an Ops Event (for a given month, i.e. Community Call, Calendar)""",0xa873baa34ea1868194e5937e3aefd20dd2e549ea,Meant to log this last week - helped organize the women in web3 dinner in NYC with Jovian! ,2021-11-01,TRUE
,📞 Attended DAO-Wide Call,0xdbf14da8949d157b57acb79f6eee62412b210900,,2021-11-10,TRUE
,"""👩‍💼 Grants - administration - followup, refinement, onboarding""",0xdbf14da8949d157b57acb79f6eee62412b210900,Referred a grantee and arrange a call for them to present with the grants committee,2021-11-10,TRUE
,"""👩‍💼 Grants - administration - followup, refinement, onboarding""",0xfd36d71a2774ca525de18a59687c6b73d43e3820,"Organized grant meeting, ran grant meeting, interviewed grantee",2021-11-11,TRUE
,📞 Attended DAO-Wide Call,0xfd36d71a2774ca525de18a59687c6b73d43e3820,Attended call,2021-11-10,TRUE
,"""🏦 Treasury reports to the DAO (monthly or quarterly) - assets held, money in, money out in the period""",0xfd36d71a2774ca525de18a59687c6b73d43e3820,Gave a treasury update at last MGD call,2021-11-10,TRUE
,⌗ Enter Movement Model Data (Governance Committee),0x5a4afc30b7d6090dc9911aa3355979d4c96cd72e,,2021-11-05,TRUE
,🧙‍♂️ Start/Run a Committee,0x990fda0cfcb0a70495a9da39a296a210da806047,Ran onboarding committee call on Monday. ,2021-11-08,TRUE
,📞 Attended DAO-Wide Call,0x990fda0cfcb0a70495a9da39a296a210da806047,Attended the MGD DAO-Wide call on Wednesday,2021-11-10,TRUE
